IDP_R Governorate-7,IDP_R District-7,IDP_R Agency-7,IDP_R Activities-7,Cluster,Status
Ninewa,Telafar,ICRC,Distributing Buckets,WASH,
Ninewa,Telafar,ICRC,Distributing Hygiene Kits,WASH,
Ninewa,Telafar,ICRC,Distributing Jerry Cans,WASH,
Erbil,Erbil,RI,Water Tankering,WASH,
Erbil,Erbil,UNICEF,Water Tankering,WASH,
Erbil,Erbil,UNICEF,Distributing Jerry Cans,WASH,
Erbil,Erbil,UNICEF,Supply Communal Garbage Containers,WASH,
Erbil,Erbil,UNHCR,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,ICRC,Distributing Hygiene Kits,WASH,
Erbil,Erbil,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Akre,PWJ,Distributing Bottled Water,WASH,
Erbil,Erbil,UNHCR,Distributing Hygiene Kits,WASH,
Erbil,Erbil,UNICEF,Distributing Buckets,WASH,
Erbil,Erbil,UNICEF,Distributing Hygiene Kits,WASH,
Erbil,Erbil,UNICEF,Supply & Install Mobile Showers,WASH,
Ninewa,Akre,PWJ,Distributing Bottled Water,WASH,
Ninewa,Shikhan,UNICEF,Distributing Buckets,WASH,
Ninewa,Shikhan,UNICEF,Distributing Family Water Kits,WASH,
Ninewa,Shikhan,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Shikhan,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Shikhan,UNICEF,Distributing Soap / Toilet Bars,WASH,
Ninewa,Shikhan,UNICEF,Supply & Install Mobile Latrines,WASH,
Ninewa,Shikhan,UNICEF,Supply & Install Water Tanks,WASH,
Ninewa,Sinjar,IRD,Distributing Bottled Water,WASH,
Ninewa,Sinjar,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Shikhan,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Shikhan,UNICEF,Distributing Jerry Cans,WASH,
Erbil,Erbil,UNICEF,Supply & Install Mobile Latrines,WASH,
Ninewa,Telafar,DRC,Distributing Bottled Water,WASH,
Ninewa,Tilkaif,ICRC,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,ICRC,Distributing Jerry Cans,WASH,
Erbil,Erbil,UNICEF,Supply & Install Water Tanks,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Shikhan,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Akre,ICRC,Distributing Buckets,WASH,
Ninewa,Akre,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Akre,ICRC,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Akre,ICRC,Distributing Jerry Cans,WASH,
Ninewa,Sinjar,UNHCR,Distributing Hygiene Kits,WASH,
Ninewa,Sinjar,UNHCR,Distributing Hygiene Kits,WASH,
Ninewa,Telafar,UNHCR,Distributing Hygiene Kits,WASH,
Dahuk,Dahuk,UNHCR,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,ICRC,Distributing Buckets,WASH,
Ninewa,Tilkaif,ICRC,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,ICRC,Distributing Jerry Cans,WASH,
Erbil,Erbil,SCI,Distributing Hygiene Kits,WASH,
Ninewa,Sinjar,UNHCR,Distributing Jerry Cans,WASH,
Ninewa,Shikhan,UNHCR,Distributing Hygiene Kits,WASH,
Sulaymaniyah,Sulaymaniya,UNHCR,Distributing Hygiene Kits,WASH,
Ninewa,Sinjar,IRC,Supply & Install Water Tanks,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Akre,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Buckets,WASH,
Ninewa,Sinjar,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Erbil,Erbil,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Sinjar,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Jerry Cans,WASH,
Erbil,Erbil,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Akre,SFL,Water Tankering,WASH,
Ninewa,Shikhan,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Shikhan,UNICEF,Distributing Jerry Cans,WASH,
Erbil,Erbil,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Akre,SFL,Water Tankering,WASH,
Diyala,Khanaqin,UNICEF,Distributing Buckets,WASH,
Ninewa,Akre,UNICEF,Distributing Buckets,WASH,
Diyala,Khanaqin,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Shikhan,UNICEF,Distributing Hygiene Kits,WASH,
Diyala,Khanaqin,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Akre,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Shikhan,UNICEF,Distributing Jerry Cans,WASH,
Diyala,Khanaqin,UNICEF,Supply & Install Mobile Latrines,WASH,
Diyala,Khanaqin,UNICEF,Supply & Install Mobile Showers,WASH,
Diyala,Khanaqin,UNICEF,Supply & Install Water Tanks,WASH,
Diyala,Khanaqin,UNICEF,Supply Communal Garbage Containers,WASH,
Kirkuk,Kirkuk,SCI,Distributing Hygiene Kits,WASH,
Dahuk,Zakho,SCI,Distributing Hygiene Kits,WASH,
Erbil,Erbil,UNHCR,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Akre,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Akre,UNICEF,Distributing Bottled Water,WASH,
Ninewa,Akre,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNICEF,Distributing Hygiene Kits,WASH,
Sulaymaniyah,Kalar,UNICEF,Distributing Hygiene Kits,WASH,
Sulaymaniyah,Kalar,UNICEF,Distributing Jerry Cans,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Tilkaif,UNICEF,Distributing Hygiene Kits,WASH,
Ninewa,Akre,UNICEF,Supply & Install Water Tanks,WASH,
Ninewa,Akre,UNICEF,Supply & Install Water Tanks,WASH,
Ninewa,Akre,UNICEF,Supply & Install Water Tanks,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Ninewa,Akre,UNICEF,Water Tankering,WASH,
Sulaymaniyah,Chamchamal,SCI,Distributing Hygiene Vouchers,WASH,
Sulaymaniyah,Chamchamal,SCI,Distributing Hygiene Vouchers,WASH,
Diyala,Khanaqin,SCI,Distributing Hygiene Kits,WASH,
Ninewa,Telafar,SCI,Distributing Bottled Water,WASH,
Dahuk,Zakho,SCI,Distributing Hygiene Kits,WASH,
Erbil,Shaqlawa,SCI,Distributing Hygiene Kits,WASH,
